ALG3,AP4B1,CDKL5,EFTUD2,FGF19,FLNA,FOXL2,HRAS,IKBKG,LETM1,MYCN,NBN,RNF168,SLC25A19,SNRPN,TUBB6,WDR62,AP4E1,AP4S1,ASPM,BUB1B,CENPJ,CENPL,CEP135,CEP152,CEP76,CHEK1,CKAP2,DLG3,ERCC8,H2AFX,HNRNPU,MCM8,MCPH1,MDC1,MRE11A,NES,NHEJ1,PCNT,PHF6,PLK4,PTER,RAD50,SEH1L,SMC1A,STIL,TSEN54,TUBB2B,USP39,VRK1,WHSC1,XRCC4,ZNF519,ALG9,CDK5RAP2,CRBN,NR2E1,PAX6,ZIC2,AKT3,CNTN4,COG5,FOXG1,GPR56,LIG4,SIX3,SLC9A6,TRAPPC9,TUBA1A,CHD3,COG7,KIF26B,MECP2,MZT2B,POMT1,POMT2,TSEN34,EFCAB2,HYDIN,TBR1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0.999,0,0,0.683,0.999,0.999,0,0,0,0,0,0,0.999,0,0.559,0,0,0,0,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.17859748,1.097686712,-0.547296666,-0.388020366,-0.00820368,-0.958200643,-0.381192302,-0.352138384,-0.641232151,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986,0,0,0,0.659,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.346243375,0.219891623,0.542508853,-0.344753716,-0.573792473,-0.081909044,-0.334587,-0.967087845,-0.806513774,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.627959513,-0.195563892,-0.267777232,-0.281336283,-0.01195632,-0.48684634,-0.54135416,-0.519215215,-0.32391007,
0,0,0,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.651360888,-0.446815954,-0.34589185,-0.317843193,-0.521935094,-0.173223679,-0.203784528,-0.317171588,-0.324695002,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1,2.631218238,-0.200064184,-0.246545348,-0.028451047,-0.497389668,-0.266590221,-0.415182848,-0.547521487,-0.429473435,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0.43,0,0,0.565,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.368914324,0.287609554,0.632115734,-0.316830227,-0.477077993,-0.557807614,-0.541519015,-0.698464085,-0.696940678,
0,0.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.696730238,1.24867649,0.921170401,-0.263391021,-0.610649721,-0.867839836,-0.793436305,-0.631891175,-0.699369072,
0,0.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.029950077,0.925556452,0.571347129,-0.751462307,-0.567052631,-1.008168861,-0.821424379,-0.342832151,-0.03591333,
0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0.499,0,0,0,0.935,0.768,0.426,0,0.773,0,0.877,0.856,0,0,0.425,0,0.557,0.895,0,0,0,0,0,0,0.859,0,0,0,0,0.915,0,0,0,0.552,0.416,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,2,1.098682085,1.20418418,1.57846318,-0.241493086,-0.599525786,-0.782757477,-0.467359991,-0.892673724,-0.897519382,
0,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0.952,0,0.608,0,0.87,0.855,0,0,0.73,0,0.407,0,0,0.44,0,0,0,0,0.858,0,0,0,0,0.703,0,0,0,0.527,0.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.217456335,0.628529998,0.672185594,-0.299980991,-0.435691887,-0.768831581,-0.576472393,-0.718009091,-0.719185984,
