BARX1,DHCR7,FOXA2,FOXH1,GLI1,HESX1,LHX4,LSS,NODAL,PWP2,TDGF1,TRAPPC10,ACVR1C,GLI2,SOX2,TGIF1,BMP4,BOC,CDON,CHRD,DISP1,GAS1,GLI3,OTX2,PTCH1,SIX6,SMO,SOX3,WNT1,ZIC2,ZIC5,EN2,FGF8,FOXG1,MSX2,NOG,SIX3,TBX19,ZIC1,KIF27,VAX1,DYNC2H1,GDF1,HHIP,IFT172,INHBB,TGFB1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0.551,0,0,0.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.785845751,1.726396731,1.086816835,0.001633122,0.273223759,-0.204709824,-0.493259996,-0.53311558,-0.071139296,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.97578222,1.136714537,1.220748155,0.54115198,-0.123053498,0.48377233,-0.043859601,-0.591792946,-0.647898736,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.872667614,1.246145862,-0.414139684,1.166290958,0.011158502,0.86694501,-0.605640684,-0.523647978,0.125555628,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786,0,0,0,0,0,0,0,0,0,0,3,-2.257129657,0.857312263,0.13039394,-0.165573486,0.096342772,-0.411896096,0.000252825,0.419488052,1.330809386,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0,0,0,0,0,0,3,-1.787888913,1.686938262,1.076894976,0.049598903,-0.286627279,-0.358493543,-0.719869656,0.102521175,0.236926073,
0,0,0.531,0,0.918,0,0,0,0,0,0,0,0,0.914,0.447,0,0.563,0,0,0,0,0,0,0.412,0.902,0,0.954,0,0.489,0.926,0,0.603,0,0.428,0.429,0.43,0,0,0.644,0.675,0,0,0,0.534,0.946,0,0,3,-1.051293119,1.993266772,0.953545506,0.372332496,0.267409723,-0.304301455,-0.564204912,-0.799324756,-0.867430256,
0,0,0.983,0,0,0,0,0,0,0,0,0,0,0,0.534,0,0.659,0,0,0.659,0,0,0,0,0,0.685,0,0,0,0,0,0,0.696,0.514,0,0.613,0.763,0,0.466,0,0,0,0,0,0,0,0,3,-1.852195327,2.001670978,-0.253712966,-0.302847744,-0.242487137,-0.242167101,0.176540267,0.324188961,0.391010068,
0,0,0.429,0,0.996,0,0,0,0,0,0,0,0,0,0,0,0.939,0,0.427,0,0,0.424,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0.509,0,0,0,0.469,0,0,0.473,0.659,0.623,0,0,3,-1.904297898,1.070229547,1.518148319,0.082971929,0.475105277,0.126854965,-0.281765712,-0.590196022,-0.497050406,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.638065045,2.404858178,-0.338886159,0.230956287,-0.616487378,-0.622026893,-0.50298248,-0.514545575,0.597179066,
0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,3,-1.516417376,2.082759415,0.372359701,-0.050836244,0.597483319,-0.75977368,-0.465617528,-0.265116638,0.005159031,
0,0,0,0,0,0.613,0.563,0,0,0,0,0,0,0,0,0,0.422,0,0,0.513,0,0,0,0.609,0,0,0,0,0,0,0,0,0,0.453,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.758832694,-0.80961115,1.486181243,1.084846458,0.636789656,0.813295513,-0.388780675,-0.899359163,-1.164529188,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.787422088,1.718482722,1.607801219,0.235697657,-0.164310133,-0.4485393,-0.706607142,-0.721886078,-0.733216857,
0,0,0.675,0,0.926,0,0,0,0,0,0.428,0,0,0.928,0,0,0,0,0,0,0.784,0.581,0,0,0,0,0,0.523,0,0,0.584,0,0,0,0,0,0.844,0,0.424,0,0,0,0,0,0,0,0,3,-1.969478549,0.821574032,0.219908841,0.181179366,1.05646199,0.906306909,0.351297003,-0.588772137,-0.978477455,
