CRK,LRP8,MGAT4C,NUDC,WDR62,ZWILCH,DAG1,DNAH14,KIAA0101,LMNB2,MAPRE1,MCPH1,PAFAH1B2,PLA2G7,TUBB2B,YWHAE,ZW10,DPM3,EMX2,LMO1,MAP2,PVALB,ARX,GPR56,SRPX2,TUBA1A,DCDC1,DNAH12,DNAH5,MAPRE3,MAPT,POMT1,POMT2,PPP1R9B,SPATA13,CALB2,CAMK2B,DCX,DISC1,DNAH9,IPO13,KIF5A,LAMA2,RELN,TBR1,VLDLR,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0.524,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.507541617,-0.593284021,-0.093160247,1.190651566,1.706507572,0.62898051,-0.346979687,-0.62588914,-0.359284935,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0.515,0.659,0,3,-2.073673241,0.37775853,1.371977817,0.679977142,0.517009548,0.191437042,0.236104944,-0.59103506,-0.709556721,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,0,0,0,0,0,3,-0.89632749,2.353438669,-0.247714391,-0.742548141,-0.417836891,-0.46125609,-0.407861439,0.131484438,0.688621335,
0,0,0,0,0,0,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0.462,0.854,0.631,0,0,0,0,0,0,0,0,3,-2.101233468,0.823373811,1.361585452,-0.141844024,0.44261103,-0.417365243,0.675189287,-0.304209929,-0.338106917,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0.909,0,0.435,0,0,0,0,0,0.516,0.462,0,3,-1.490484068,0.326901929,1.937477979,-0.300524603,-1.047899824,0.013529598,0.78062424,-0.328544758,0.108919508,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0.838,0,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0.72,0,0,0,0,0,4,-1.669674046,-0.234598382,-0.269405478,0.059887662,1.15482116,1.046632088,1.237916998,-0.315719378,-1.009860623,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.430377794,-0.990982632,-0.664609069,-0.481427565,-0.331359055,1.142766663,1.356613176,0.521847875,0.877528401,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468,0,0,0,0,0,0,0,0,0,0,4,-1.076158594,-1.279906109,-1.211191441,-0.379687228,1.377444672,0.630549375,0.780830343,0.672101909,0.486017074,
0,0,0,0,0,0,0.627,0,0,0,0.527,0,0,0.667,0.816,0,0,0,0,0,0.799,0,0.838,0,0,0,0,0,0,0.546,0.745,0,0,0,0,0,0,0.428,0,0,0,0,0,0,0,0,4,-1.977271682,-1.035760401,-0.330696351,-0.030597829,0.649030852,0.756703009,1.298455555,0.373355296,0.296781551,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,5,-1.352872414,-0.944413707,-0.952598225,-0.007576304,0.055902689,-0.074665843,0.635564115,1.805682584,0.834977105,
0,0,0,0,0,0,0,0.657,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0.683,0,0,0,0,0,0,5,-1.161764306,-1.16600621,-1.003136845,0.735651507,-0.012624144,-0.211819724,0.39202013,1.760532443,0.667147148,
0,0,0,0,0,0.412,0,0.5,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0,5,-0.980337525,-1.24609581,-0.93861102,0.853575898,-0.131309081,-0.204672706,0.052858986,1.770963313,0.823627944,
0,0,0,0,0,0,0,0,0,0,0.934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.536401466,-1.025333726,-0.717444391,0.03407606,-0.083896289,-0.096730272,0.832070461,1.297816936,1.295842686,
0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745,0,0,0,0,0,0,0,0,0,0,0,0.513,0,0,0,0,0,0.527,0,0.551,5,-1.494049253,-1.187803272,-0.894024506,0.21643439,-0.061260204,0.695949853,0.694452518,0.525562025,1.50473845,
0,0,0.677,0,0,0,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.579,0,0,0,5,-1.822757671,-0.311720787,-0.917069723,0.699136061,-0.350317577,-0.283941857,1.026473998,0.789842328,1.170355227,
0,0,0.659,0,0,0,0.792,0,0,0,0,0,0,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0.428,0,0,0,5,-0.915010986,-1.477829683,-1.323688401,-0.114615095,0.356157644,0.801313628,0.966080572,1.017025268,0.690567054,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0,0.798,0,0,0,0,0,0,0,0,5,-1.715734038,-0.655536223,-0.612225464,-0.407239611,-0.303849105,0.337134048,0.893935597,1.079593371,1.383921424,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.441339337,-1.208869265,-0.55288086,-0.630450602,-0.553885111,-0.306036053,1.899241248,1.005582838,0.788637142,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0,0.462,0.909,0.625,0,0.468,0,0,0,0,0,0,0,0,0,0,0,0,0.615,0,0,0.402,0,0,0.659,0.639,0,6,0.739393465,0.085251282,-0.872815993,-0.913714612,-0.922259277,-0.81149269,-0.062895185,0.863729492,1.894803519,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.727226486,-0.66322649,-0.602922383,-0.447013243,-0.444374548,-0.420823291,-0.015555216,1.122917538,2.198224119,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0.631,0.435,0,0,0,0.428,0.429,0,0,0,0.513,0,0,0.798,0,0.615,0,0,0,0,0,0,0,0.649,0.504,0.425,6,-1.160839701,-1.039616997,-0.561423946,-0.200512331,-0.534069475,-0.289959303,1.050855711,1.34564108,1.389924963,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0.43,0,0,6,-0.696568203,-1.142107259,-0.518571773,0.084573142,0.411473537,-0.544354955,-0.435352671,2.209050965,0.631857218,
0,0,0,0,0,0,0,0.621,0,0,0,0,0,0,0,0,0.412,0,0,0,0,0,0,0,0,0,0,0.683,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.884222039,-0.878888736,-0.853332985,-0.028326068,-0.412254643,-0.243693322,0.041565796,1.925060782,1.334091215,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,6,-0.413363892,-1.067701779,-1.118780399,-0.446400004,-0.764626031,0.217272269,0.769719817,1.527531265,1.296348753,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,6,-0.304042605,-0.73838669,-0.657612057,-0.638623436,-0.824284665,-0.664879632,1.323010754,0.745889348,1.758928984,
0,0,0,0,0,0,0.997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-0.710200787,-0.969887678,-1.030164815,-0.769224563,-0.390218592,0.178641995,0.888973701,1.430201762,1.371878976,
0,0.999,0,0,0,0,0,0,0,0,0,0,0.925,0,0,0,0,0,0.515,0,0,0.516,0,0,0,0,0,0,0,0,0.527,0,0,0,0,0.659,0,0.649,0.43,0,0,0,0,0,0.927,0.999,6,-0.960391934,-0.814468493,-0.009037505,-0.39009218,-0.416153432,-0.036910638,-0.303557703,0.543053683,2.387558201,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639,0,0.504,0,0,0,0,0,0.927,0,0,6,-0.651809475,-0.651296345,-0.654126416,-0.657152021,-0.625347293,-0.262108963,0.27196864,1.094616856,2.135255017,
0,0.905,0,0,0,0,0,0,0,0,0,0,0.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0,0,0,0,0,0,0.425,0,0,0,0,0,0.999,0,0,6,0.201467078,-1.048291484,-0.579286486,-1.268453506,-0.271114754,-0.578197791,1.534963348,0.745464949,1.263448647,
