ATP10A,CDKL5,DOC2A,GABRA5,GABRB3,HRAS,HTR1A,HTR3A,HTR7,LRFN4,MBP,NETO1,NIPA2,NLGN4X,NLGN4Y,SLC1A1,SNRPN,SNTG2,ATG4C,CTTNBP2,DLG3,DOCK4,GLO1,IQCB1,MCPH1,MTOR,PPCDC,PTER,UPF3B,ZNF232,APBA2,CDH8,DLX1,DRD4,FMR1,GABRB2,GABRG3,HOXA1,HOXB1,IL1RAPL1,LRRN3,NDNL2,NLGN3,NPAS4,NRXN1,PCDH17,PVALB,RBFOX1,SLC6A3,SLC6A8,TSSK3,ABAT,AHI1,ARX,AVPR1A,CDH10,CDH18,CELF3,CHRNA7,CNTN4,EN2,F10,GABRA4,GABRB1,GAMT,GPR37L1,GRIK1,GRIK2,GRIN2B,KCTD13,NIPA1,NLGN1,NLGN2,NRXN2,NRXN3,NXPH1,ROBO3,SHANK3,TLE6,CAPS2,FOXP2,GABRA2,GAD1,IMMP2L,ITGB3,LRFN1,LRFN2,MAOA,MECP2,NBEA,NDN,OXTR,SCN1A,SEZ6L2,SHANK1,STK39,ANK3,ATP13A4,BDNF,BSN,BZRAP1,C3orf58,CACNA1C,CADPS2,CLSTN2,COMT,DISC1,FBXO15,GABBR2,GABRG1,GRM1,GRM5,HTR2A,HTR2C,HTR5A,JAKMIP1,LAMB1,LRFN3,LRFN5,MARK1,NPS,NRCAM,NTF3,PI4KA,PTEN,RELN,SCAMP5,SEMA5A,SLC18A1,SORCS2,TBR1,TPH1,VIPR2,WNT2,ZNF804A,,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.171191182,-0.732464923,-0.688360691,-0.595814804,-0.684968673,-0.479255047,-0.243985092,0.193030218,1.06062783,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566,0.56,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.657060953,-0.314754774,-0.228212857,-0.352659155,-0.439739304,-0.39218753,-0.435413198,-0.300320253,-0.193773882,
0.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.534033472,0.154624538,0.046777227,-0.407854805,-0.841685382,-0.115981532,-0.377556655,-0.374912469,-0.617444395,
0,0.412,0,0,0.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.406,0,0,0,0,0,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0,0.561,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816,0.789,0,0,0.841,0.456,0,0,0,0,0,0,0,0,0,0.428,0,0,0,0,0,0.421,0,0,0,0,0,0,0.403,0,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.508,0,0,0,0,0,0,0,0,1,2.646007589,-0.15664542,-0.223633051,-0.463463334,-0.315997515,-0.408950131,-0.167582527,-0.44245683,-0.467278781,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.635352068,-0.263880109,-0.30005792,-0.433554891,-0.188806605,-0.414808246,-0.03607493,-0.492159705,-0.506009662,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0.456,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.639521937,-0.210586706,-0.201805694,-0.216024075,-0.183519336,-0.548531171,-0.481378065,-0.307322324,-0.490354566,
0.608,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.651360888,-0.446815954,-0.34589185,-0.317843193,-0.521935094,-0.173223679,-0.203784528,-0.317171588,-0.324695002,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0,0,0,0,0,0,0,0,0,0,0.544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.551940039,-0.274016381,-0.436062332,-0.958764073,-1.213742581,-0.229721816,0.103322955,1.67955063,-0.222506441,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.225511246,0.757238156,0.359910654,-0.340973069,-0.305289502,-0.352000427,-0.686686107,-0.54141403,-1.116296919,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.995058469,1.477848933,-0.292856636,-0.487689858,-0.486992714,-0.652139062,-0.652638876,-0.545640987,-0.35494927,
