ACTB,ADCY2,APBA3,APOC1,ARC,BAX,C1QB,CASP3,CBS,CDR2,CH25H,CYCS,CYP2B6,DENR,DHCR24,DLST,ECE1,ECE2,EIF2S1,EPHA1,EXOC3L2,FGF2,GAL,GALR1,GSR,HMOX1,HSP90AA1,HSPA4,HTR1A,HTT,IL6,LDLR,LRP8,OPA1,PIK3CD,PPIF,PREP,RAC3,RBFOX3,RTN4,RTN4R,SCARB1,SERPINE2,TFRC,TKT,TOMM40,TP53,VCP,VGF,ZMPSTE24,APOE,BLMH,CASP6,CTNNA3,DBN1,DNM1L,ENO1,GGA3,HSD17B10,MTA2,MTOR,NGFR,NPC1,PARP1,PHF6,PON1,SIRT1,SORL1,TARDBP,TFCP2,THOP1,YWHAQ,ADAM17,ALOX5,AOC3,APBA2,C2,CA14,CA4,ENO2,ESR2,FOS,FYN,GAB2,GDNF,GLUL,GPC1,GRIA1,HSPB2,LRP2,MAP2,MFI2,NOS3,NPY,PSEN1,PTGS1,PVALB,RTN4RL1,SERPINB1,SIRT4,SLC6A3,SNCG,SST,ADAMTS2,AIF1,APBB1,APLP1,BACE1,CDR1,CTNND2,CTSS,CYP2D6,CYP46A1,DDIT3,FLOT1,GAP43,GRIK1,GRIN2A,GRIN2B,GSTA4,HIST1H1C,HM13,IAPP,IL1A,IL1B,MS4A6A,MTHFR,PARK2,PHF1,PPARG,RAB3A,SDC2,SNCA,SYVN1,TF,TTBK1,TUBA1A,ABCA1,ABCA2,ABCA7,ADAM9,APLP2,BIN1,CALB1,CAST,CHRNA4,CLU,CST3,CTSB,DECR1,GALR2,GSN,MAOA,MAPT,MS4A6E,NCSTN,PSENEN,RCAN1,SIRT3,VPS35,ACE,APBA1,APOD,APP,BACE2,BCHE,BDNF,CAT,CCL2,CD44,CDK5R1,CHAT,CHRM2,CNTF,COLQ,CP,CRH,CRYAB,CTSD,DCX,FSIP1,FTH1,GFAP,GRN,GSTA3,IGF1,ITM2B,KLK6,MAOB,MSRA,MT3,NGF,NPS,NTF3,PCSK1N,PLA2G1B,PRNP,RELN,SDF4,SLC17A7,SLC18A3,SLC1A2,SLC1A3,SNAP25,SNAP91,SYN1,SYP,TGFB1,TGM2,TNK1,TSPO,TYR,VLDLR,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.663808539,-0.342713829,-0.338226581,-0.361664608,-0.37201769,-0.37201769,-0.350020616,-0.303709643,-0.223437883,
0,0,0,0,0,0.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0.508,0,0.629,0,0,0.514,0,0,0,0,0.656,0,0.876,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.659,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0,0,0,0,0.514,0,0,0,0,0.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0,0,0,0,0.462,0,0.434,0.46,0,0,0.543,0,0,0.542,0.514,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0.543,0,1,2.57705014,-0.182876572,0.184247464,-0.519075527,-0.518429352,-0.064791392,-0.431805774,-0.429267117,-0.61505187,
0,0,0,0,0,0,0,0,0,0,0,0.784,0,0,0,0,0,0,0,0,0,0,0,0,0.532,0.534,0,0.423,0,0,0.499,0.412,0,0,0,0.514,0,0,0,0,0,0,0,0,0,0,0.433,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562,0,0,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867,0,0,0,0,0,0,0,0,0,0,0.886,0,0,0,0,0.43,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.977,0.896,0,0,0,0,0,0,0,0,0,0.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,1,2.665347041,-0.35372523,-0.336366916,-0.343629927,-0.294425667,-0.372112408,-0.28744751,-0.371998207,-0.305641177,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.524074014,0.309861801,0.042234211,-0.387900732,-0.23751136,-0.691878573,-0.428985987,-0.456966996,-0.672926378,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.346538409,-0.876661401,-0.93503115,-0.686523415,-0.263892749,-0.04656261,-0.134440749,0.061862649,0.534711016,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.495526488,0.288669644,-0.506775499,0.071611112,-0.672122633,-0.085036532,-0.248701685,-0.717308677,-0.625862217,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.627824845,-0.404659388,-0.607734912,-0.360966589,-0.024847608,-0.196356533,-0.217116204,-0.48485341,-0.3312902,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.028898995,-0.489776031,-0.743654506,-0.32827934,-0.168880973,1.393606887,-0.425039708,-0.512829361,-0.754045963,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.466314829,-0.111344211,0.499292682,-0.626941663,-0.657261583,-0.07005742,-0.303220876,-0.504695668,-0.692086088,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.666556097,-0.315557427,-0.32137576,-0.334931991,-0.335583785,-0.335299064,-0.33964605,-0.341908337,-0.342253682,
